"id","mean"
"chr1_10032076_10041228_+",23.2244061449356
"chr1_100335956_100343384_+",20.149494108802518
"chr1_100335956_100347247_+",12.412634494611591
"chr1_100340243_100350259_+",10.492970998303603
"chr1_100459093_100483371_+",8.220719578609552
"chr1_100515465_100535241_+",75.52418860397596
"chr1_100602438_100609699_+",14.578689653845176
"chr1_100617941_100634150_-",12.18417351180628
"chr1_100617941_100638926_-",14.599641909323415
"chr1_100849022_100908552_+",9.927936458289954
"chr1_100856288_100908552_+",7.856322979958089
"chr1_100889778_100908552_+",23.895151640008663
"chr1_101372408_101387397_+",116.75293381775627
"chr1_101372408_101440458_+",9.542860760512468
"chr1_101379219_101440458_+",549.441134888524
"chr1_10155519_10165802_+",49.9750814251948
"chr1_10195046_10197263_+",11.858405809562289
"chr1_10204998_10211619_+",16.492103952998892
"chr1_10204998_10221344_+",10.351606262940836
"chr1_10207021_10221344_+",7.4761904977674645
"chr1_10209242_10221344_+",56.226781694146254
"chr1_10292308_10338186_+",48.47746729470126
"chr1_103444938_103455127_-",19.52359057708979
"chr1_104070317_104095939_+",44.82390321229091
"chr1_104070317_104095954_+",12.919408548527654
"chr1_104077396_104094414_+",9.224142916774024
"chr1_10407819_10408791_+",63.55560589958972
"chr1_104108057_104118162_+",111.84417421018271
"chr1_104108057_104164515_+",56.22264256662813
"chr1_104108057_104258640_+",60.94991554450061
"chr1_10493899_10502498_+",24.11917147979483
"chr1_10500404_10502498_+",13.590878098160008
"chr1_107866904_107867544_+",68.50898052255947
"chr1_108226110_108247683_-",9.301134334834723
"chr1_108690901_108703915_-",55.78797915882881
"chr1_108697605_108728576_-",10.037709664031937
"chr1_109192833_109200201_-",34.46126271715965
"chr1_109294879_109302707_+",28.104210652705515
"chr1_109427897_109446876_+",29.617035570144253
"chr1_109428129_109472597_+",16.70642455704941
"chr1_109439486_109446876_+",51.539580636327244
"chr1_109714488_109716459_+",8.179026223107572
"chr1_110765586_110768800_+",15.549923169921566
"chr1_111690264_111703918_+",22.649627815985014
"chr1_11184555_11193254_-",23.19971123235886
"chr1_112269989_112270426_-",10.828550397122255
