"id","FBN","H9_ESC"
"chr1_100327059_100327979_+","0.0117184587779893","0"
"chr1_100335956_100343384_+","0.0234369175559785","0"
"chr1_100515465_100535241_+","0","0.0123917999147618"
"chr1_100525434_100527505_+","0.0117184587779893","0"
"chr1_100533533_100534142_+","0.0117184587779893","0"
"chr1_100568511_100588845_-","0.0117184587779893","0"
"chr1_100617941_100634150_-","0.0117184587779893","0"
"chr1_100889778_100908552_+","0.0703107526679357","0"
"chr1_100905488_100950007_+","0.0117184587779893","0"
"chr1_101372408_101387397_+","0.117184587779893","0.0123917999147618"
"chr1_101376619_101387397_+","0","0.0123917999147618"
"chr1_10155519_10165802_+","0.0351553763339678","0"
"chr1_10155519_10182134_+","0.0117184587779893","0"
"chr1_10177517_10179671_+","0.0117184587779893","0"
"chr1_10186852_10190871_+","0","0.0123917999147618"
"chr1_10190558_10190871_+","0","0.0123917999147618"
"chr1_10204998_10211619_+","0.0117184587779893","0"
"chr1_10209242_10221344_+","0.0117184587779893","0"
"chr1_10292308_10332364_+","0.0117184587779893","0"
"chr1_10292308_10338186_+","0.0117184587779893","0"
"chr1_10292308_10342591_+","0.0117184587779893","0"
"chr1_10292308_10357304_+","0.0117184587779893","0"
"chr1_10292308_10412794_+","0.0117184587779893","0"
"chr1_10318551_10342591_+","0.0117184587779893","0"
"chr1_10321963_10328321_+","0.0351553763339678","0"
"chr1_10321963_10332364_+","0.0117184587779893","0"
"chr1_10321963_10408791_+","0.0117184587779893","0"
"chr1_10327438_10328321_+","0.0234369175559785","0"
"chr1_10331560_10335561_+","0.0351553763339678","0"
"chr1_10335486_10338186_+","0.0117184587779893","0"
"chr1_10352105_10357304_+","0.0117184587779893","0"
"chr1_103540174_103548528_-","0.0117184587779893","0"
"chr1_10380101_10384953_+","0.0234369175559785","0"
"chr1_104070317_104093695_+","0.0117184587779893","0"
"chr1_10407819_10408791_+","0.0820292114459249","0"
"chr1_104108057_104118162_+","0.0820292114459249","0"
"chr1_10423341_10435431_+","0.0234369175559785","0"
"chr1_10425158_10425706_+","0.0351553763339678","0"
"chr1_10463128_10464336_+","0","0.0123917999147618"
"chr1_10463128_10473308_+","0.0234369175559785","0"
"chr1_10500404_10502498_+","0.0703107526679357","0"
"chr1_10527247_10529395_-","0.0117184587779893","0"
"chr1_107866904_107867544_+","0","0.0247835998295235"
"chr1_108690901_108703915_-","0.0117184587779893","0.0247835998295235"
"chr1_108697605_108703915_-","0.0117184587779893","0"
"chr1_108697605_108728576_-","0.0117184587779893","0"
"chr1_108724563_108728576_-","0.0117184587779893","0"
"chr1_109294879_109302707_+","0.0234369175559785","0"
"chr1_109336204_109342927_+","0.0117184587779893","0"
"chr1_109427897_109446876_+","0.0234369175559785","0"
